ticker,company_name,sector
ABTC,ABTC,
ALGM,ALGM,
ALGT,ALGT,
AREN,AREN,
ARTW,ARTW,
ARTW,"ARTW, CBNK",
ATAI,ATAI,
ATRA,ATRA,
AXGN,AXGN,
BBAI,BBAI,
BLFS,BLFS,
BROS,BROS,
BV,BV,
BVS,BVS,
CBZ,CBZ,
DNTH,DNTH,
DOUG,DOUG,
ESTA,ESTA,
FHTX,FHTX,
FIEE,FIEE,
FOSL,FOSL,
FTCI,FTCI,
GDOT,GDOT,
GEV,GEV,
GOGO,GOGO,
HUT,HUT,
INGN,INGN,
IZEA,IZEA,
LB,LB,
LEU,LEU,
LIF,LIF,
MDU,MDU,
MS,MS,
MYE,MYE,
NGS,NGS,
NN,NN,
NRG,NRG,
NRIM,NRIM,
NTGR,NTGR,
OKLO,OKLO,
OPRX,OPRX,
PLOW,PLOW,
PPTA,PPTA,
PULM,PULM,
PVLA,PVLA,
PVLA,PVLA,
RAIL,RAIL,
RKDA,RKDA,
SEDG,SEDG,
SKIL,SKIL,
SMTC,SMTC,
SOC,SOC,
STOK,STOK,
STRT,STRT,
SWKS,SWKS,
TECTP,TECTP,
TOST,TOST,
TPC,TPC,
TRUP,TRUP,
TWLO,TWLO,
UAMY,UAMY,
UGI,UGI,
UNKN034,Unknown Company,
UNKN037,Unknown Company,
UNKN042,Unknown Company,
UNKN067,Unknown Company,
UNKN101,Unknown Company,
UNKN108,Unknown Company,
UNKN111,Unknown Company,
UNKN116,Unknown Company,
UNKN123,Unknown Company,
VS,VS,
WLDN,WLDN,
ZG,ZG,
