company,ticker
MYE,MYE
TECTP,TECTP
TOST,TOST
LEU,LEU
ATRA,ATRA
HUT,HUT
NTGR,NTGR
BROS,BROS
GOGO,GOGO
RTX,RTX
PLNT,PLNT
BV,BV
MS,MS
ESTA,ESTA
FOSL,FOSL
UAMY,UAMY
TPC,TPC
ALGT,ALGT
SMTC,SMTC
STOK,STOK
OKLO,OKLO
SOC,SOC
LB,LB
CVS,CVS
STRT,STRT
ZG,ZG
PPTA,PPTA
BWA,BWA
NGS,NGS
BBAI,BBAI
INGN,INGN
TWLO,TWLO
NRG,NRG
FIEE,FIEE
VS,VS
ARTW,ARTW
TRUP,TRUP
NN,NN
DNTH,DNTH
PLOW,PLOW
WLDN,WLDN
DLTR,DLTR
AXGN,AXGN
ALGM,ALGM
NRIM,NRIM
DOUG,DOUG
RAIL,RAIL
MDU,MDU
IZEA,IZEA
AREN,AREN
PULM,PULM
AZO,AZO
SWKS,SWKS
UGI,UGI
BVS,BVS
BLFS,BLFS
SKIL,SKIL
GEV,GEV
ATAI,ATAI
STAA,STAA
OPRX,OPRX
RKDA,RKDA
PVLA,PVLA
GDOT,GDOT
FTCI,FTCI
SEDG,SEDG
"CBZ, TECTP",
"ABTC, HUT",
"LIF, NTGR",
"BROS, YELP",
UNKNOWN COMPANY,
"FHTX, STOK",
"LB, WBI",
"STRT, VVV",
"ARTW, CBNK",
"BB, SWKS",
"GDOT, RPAY",
